// Hansen & Quinn, Unit 18

label	text	sentence
Sentence 1	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:18.1.token1-18.1.token7
Sentence 2	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:18.2.token1-18.2.token7
Sentence 3	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:18.3.token1-18.3.token6
Sentence 4	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:18.4.token1-18.4.token6
Sentence 5	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:18.5.token1-18.5.token10
Sentence 6	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:18.6.token1-18.6.token8
Sentence 7a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:18.7a.token1-18.7a.token5
Sentence 7b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:18.7b.token1-18.7b.token5
Sentence 8a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:18.8a.token1-18.8a.token5
Sentence 8b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:18.8b.token1-18.8b.token5
Sentence 9a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:18.9a.token1-18.9a.token4
Sentence 9b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:18.9b.token1-18.9b.token4
Sentence 9c	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:18.9c.token1-18.9c.token4
Sentence 9d	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:18.9d.token1-18.9d.token4
Sentence 10	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:18.10.token1-18.10.token8
Sentence 11	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:18.11.token1-18.11.token10
Sentence 12	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:18.12.token1-18.12.token7
