// Hansen & Quinn, Unit 16

label	text	sentence
Sentence 1	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.1.token1-16.1.token9
Sentence 2	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.2.token1-16.2.token7
Sentence 3	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.3.token1-16.3.token6
Sentence 4	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.4.token1-16.4.token8
Sentence 5	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.5.token1-16.5.token13
Sentence 6	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.6.token1-16.6.token19
Sentence 7	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.7.token1-16.7.token14
Sentence 8	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.8.token1-16.8.token10
Sentence 9	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.9.token1-16.9.token7
Sentence 10	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.10.token1-16.10.token7
Sentence 11a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.11a.token1-16.11a.token5
Sentence 11b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.11b.token1-16.11b.token5
Sentence 12	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.12.token1-16.12.token22
Sentence 13	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.13.token1-16.13.token16
Sentence 14a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.14a.token1-16.14a.token16
Sentence 14b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.14b.token1-16.14b.token7
Sentence 15	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.15.token1-16.15.token10
Sentence 16	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.16.token1-16.16.token10
Sentence 17	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.17.token1-16.17.token19
Sentence 18	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.18.token1-16.18.token19
Sentence 19	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.19.token1-16.19.token13
Sentence 20	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.20.token1-16.20.token29
Sentence 21a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.21a.token1-16.21a.token13
Sentence 21b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.21b.token1-16.21b.token11
Sentence 22	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.22.token1-16.22.token20
Sentence 23	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.23.token1-16.23.token13
Sentence 24	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.24.token1-16.24.token11
Sentence 25a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.25a.token1-16.25a.token5
Sentence 25b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.25b.token1-16.25b.token4
Sentence 25c	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.25c.token1-16.25c.token5
Sentence 25d	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.25d.token1-16.25d.token5
Sentence 26	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.26.token1-16.26.token18
Sentence 27	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.27.token1-16.27.token28
Sentence 28a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.28a.token1-16.28a.token9
Sentence 28b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.28b.token1-16.28b.token22
Sentence 28c	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.28c.token1-16.28c.token11
Sentence 28d	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.28d.token1-16.28d.token17
Sentence 29a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.29a.token1-16.29a.token6
Sentence 29b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.29b.token1-16.29b.token6
Sentence 29c	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.29c.token1-16.29c.token6
Sentence 29d	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.29d.token1-16.29d.token6
Sentence 30a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.30a.token1-16.30a.token3
Sentence 30b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.30b.token1-16.30b.token3
Sentence 31	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.31.token1-16.31.token24
Sentence 32	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:16.32.token1-16.32.token27
