// Hansen & Quinn, Unit 10

label	text	sentence
Sentence 1	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.1.token1-10.1.token34
Sentence 2	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.2.token1-10.2.token14
Sentence 3a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.3a.token1-10.3a.token19
Sentence 3b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.3b.token1-10.3b.token37
Sentence 4a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.4a.token1-10.4a.token29
Sentence 4b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.4b.token1-10.4b.token8
Sentence 5	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.5.token1-10.5.token10
Sentence 6a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.6a.token1-10.6a.token14
Sentence 6b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.6b.token1-10.6b.token12
Sentence 7a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.7a.token1-10.7a.token25
Sentence 7b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.7b.token1-10.7b.token6
Sentence 8	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.8.token1-10.8.token17
Sentence 9a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.9a.token1-10.9a.token11
Sentence 9b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.9b.token1-10.9b.token9
Sentence 10a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.10a.token1-10.10a.token30
Sentence 10b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.10b.token1-10.10b.token14
Sentence 11	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.11.token1-10.11.token30
Sentence 12	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.12.token1-10.12.token20
Sentence 13a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.13a.token1-10.13a.token25
Sentence 13b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.13b.token1-10.13b.token4
Sentence 14	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.14.token1-10.14.token13
Sentence 15	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.15.token1-10.15.token16
Sentence 16	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.16.token1-10.16.token24
Sentence 17a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.17a.token1-10.17a.token15
Sentence 17b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.17b.token1-10.17b.token17
Sentence 18	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.18.token1-10.18.token18
Sentence 19a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.19a.token1-10.19a.token7
Sentence 19b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.19b.token1-10.19b.token8
Sentence 20a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.20a.token1-10.20a.token32
Sentence 20b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.20b.token1-10.20b.token8
Sentence 21	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.21.token1-10.21.token12
Sentence 22	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.22.token1-10.22.token7
Sentence 23	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.23.token1-10.23.token36
Sentence 24	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.24.token1-10.24.token8
Sentence 25	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.25.token1-10.25.token11
Sentence 26	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.26.token1-10.26.token12
Sentence 27	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.27.token1-10.27.token18
Sentence 28	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:10.28.token1-10.28.token10
