// Hansen & Quinn, Unit 07

label	text	sentence
Sentence 1	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.1.token.1-7.1.token.23
Sentence 2	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.2.token.1-7.2.token.13
Sentence 3a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.3a.token.1-7.3a.token.8
Sentence 3b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.3b.token.1-7.3b.token.8
Sentence 4a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.4a.token.1-7.4a.token.8
Sentence 4b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.4b.token.1-7.4b.token.11
Sentence 5	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.5.token.1-7.5.token.9
Sentence 6	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.6.token.1-7.6.token.10
Sentence 7	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.7.token.1-7.7.token.8
Sentence 8a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.8a.token.1-7.8a.token.10
Sentence 8b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.8b.token.1-7.8b.token.19
Sentence 9a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.9a.token.1-7.9a.token.11
Sentence 9b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.9b.token.1-7.9b.token.9
Sentence 10	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.10.token.1-7.10.token.15
Sentence 11a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.11a.token.1-7.11a.token.26
Sentence 11b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.11b.token.1-7.11b.token.5
Sentence 12a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.12a.token.1-7.12a.token.6
Sentence 12b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.12b.token.1-7.12b.token.23
Sentence 13a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.13a.token.1-7.13a.token.11
Sentence 13b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.13b.token.1-7.13b.token.15
Sentence 14a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.14a.token.1-7.14a.token.8
Sentence 14b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.14b.token.1-7.14b.token.5
Sentence 15a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.15a.token.1-7.15a.token.5
Sentence 15b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.15b.token.1-7.15b.token.7
Sentence 16	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.16.token.1-7.16.token.10
Sentence 17	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.17.token.1-7.17.token.4
Sentence 18	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.18.token.1-7.18.token.33
Sentence 19	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.19.token.1-7.19.token.11
Sentence 20a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.20a.token.1-7.20a.token.6
Sentence 20b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.20b.token.1-7.20b.token.21
Sentence 21	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.21.token.1-7.21.token.12
Sentence 22	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.22.token.1-7.22.token.12
Sentence 23a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.23a.token.1-7.23a.token.8
Sentence 23b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.23b.token.1-7.23b.token.12
Sentence 24	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.24.token.1-7.24.token.7
Sentence 25	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026:7.25.token.1-7.25.token.10
