// Hansen & Quinn, Unit 20

label	text	sentence
Sentence 1a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.1a.token1-20.1a.token7
Sentence 1b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.1b.token1-20.1b.token7
Sentence 2a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.2a.token1-20.2a.token11
Sentence 2b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.2b.token1-20.2b.token13
Sentence 3	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.3.token1-20.3.token11
Sentence 4	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.4.token1-20.4.token6
Sentence 5	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.5.token1-20.5.token13
Sentence 6	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.6.token1-20.6.token10
Sentence 7a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.7a.token1-20.7a.token4
Sentence 7b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.7b.token1-20.7b.token4
Sentence 8	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.8.token1-20.8.token13
Sentence 9	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.9.token1-20.9.token9
Sentence 10	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.10.token1-20.10.token10
Sentence 11	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.11.token1-20.11.token12
Sentence 12	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.12.token1-20.12.token12
Sentence 13	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.13.token1-20.13.token8
Sentence 14a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.14a.token1-20.14a.token9
Sentence 14b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.14b.token1-20.14b.token11
Sentence 15	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.15.token1-20.15.token11
Sentence 16	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.16.token1-20.16.token9
Sentence 17	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.17.token1-20.17.token13
Sentence 18a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.18a.token1-20.18a.token4
Sentence 18b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.18b.token1-20.18b.token4
Sentence 19	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.19.token1-20.19.token11
Sentence 20	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.20.token1-20.20.token18
Sentence 21a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.21a.token1-20.21a.token13
Sentence 21b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.21b.token1-20.21b.token7
Sentence 22	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.22.token1-20.22.token9
Sentence 23	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.23.token1-20.23.token7
Sentence 24a	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.24a.token1-20.24a.token7
Sentence 24b	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.24b.token1-20.24b.token9
Sentence 25	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.25.token1-20.25.token12
Sentence 26	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.26.token1-20.26.token12
Sentence 27	texts/HQ_Sentences_tokenized.cex	urn:cts:fuTeaching:blackwell.hq.2026.tok:20.27.token1-20.27.token16
